#{"t_start": 1761659488.3956401, "env_id": "None"}
r,l,t
124.869711,168,117.217365
125.271339,168,117.289096
124.474593,168,117.361253
126.412941,168,117.437009
125.851488,168,117.506715
124.727601,168,117.580905
125.226209,168,117.65305
124.495909,168,118.322315
126.103047,168,118.393843
125.849799,168,118.46917
125.787079,168,118.542948
125.302249,168,118.618367
124.577959,168,118.695537
125.085915,168,118.766944
126.509267,168,118.834459
125.528027,168,118.904881
126.859702,168,118.984728
122.535699,168,119.052579
126.303046,168,119.127063
125.993069,168,119.791463
126.509425,168,119.862888
125.757628,168,119.934479
124.374424,168,120.008233
125.872953,168,120.07618
124.900792,168,120.149059
126.074822,168,120.223492
125.003457,168,120.29421
126.252105,168,120.363094
125.670824,168,120.432969
124.248258,168,120.510138
125.373549,168,120.585043
125.84494,168,121.290092
126.576228,168,121.378676
126.511789,168,121.480495
125.401362,168,121.548413
126.466079,168,121.619597
123.193987,168,121.684436
126.031682,168,121.758032
123.977682,168,121.826407
125.589995,168,121.892579
124.971783,168,121.960511
124.890528,168,122.032502
125.219034,168,122.100807
125.150233,168,122.799706
124.920401,168,122.869
125.570864,168,123.2716
124.352465,168,123.343439
125.993145,168,123.412755
124.441971,168,123.484957
123.193929,168,123.562626
124.522234,168,123.636153
126.830206,168,123.709775
124.254411,168,123.792395
124.414186,168,123.85995
125.396213,168,123.929331
127.528293,168,124.007378
126.331528,168,124.689939
127.048045,168,124.763369
127.102685,168,124.83306
125.789215,168,124.907306
125.223688,168,124.979992
124.739853,168,125.052718
124.453138,168,125.123541
125.079583,168,125.198403
126.445464,168,125.271853
127.224487,168,125.345808
127.45392,168,125.417393
126.411449,168,125.488079
125.180742,168,126.161374
125.954488,168,126.233189
127.349364,168,126.310373
126.095587,168,126.380396
125.936649,168,126.45185
126.219624,168,126.521369
125.939517,168,126.592982
125.944328,168,126.663995
126.290737,168,126.739797
126.3617,168,126.811887
125.195951,168,126.881678
125.369419,168,126.953922
124.864979,168,127.652723
126.489583,168,127.722202
126.091103,168,127.796799
125.87227,168,127.872372
125.279258,168,127.942328
124.713499,168,128.012737
123.318252,168,128.087293
124.634042,168,128.159726
125.190205,168,128.233403
125.311309,168,128.302131
126.145943,168,128.375237
126.275355,168,128.447669
126.88452,168,129.136527
125.982727,168,129.207658
125.914493,168,129.281432
125.700044,168,129.359509
126.709534,168,129.427093
124.657487,168,129.500793
126.035013,168,129.573843
127.474904,168,129.649794
126.643744,168,129.718266
125.376782,168,129.789745
125.788883,168,129.86863
125.803035,168,129.93885
125.842391,168,130.998873
126.12765,168,131.069373
125.084843,168,131.143452
126.340747,168,131.218376
125.392283,168,131.292793
126.126167,168,131.366514
125.001168,168,131.438878
126.155183,168,131.512028
126.683308,168,131.585111
124.131392,168,131.659852
126.546104,168,131.730489
127.173275,168,131.803936
127.119342,168,131.874156
126.781283,168,132.569346
124.428714,168,132.641771
126.586078,168,132.713561
125.199337,168,132.781564
127.110796,168,132.854014
125.676711,168,132.936861
125.486989,168,133.006341
126.459457,168,133.07669
126.675514,168,133.147522
127.126229,168,133.223473
125.587189,168,133.292336
124.868727,168,133.364101
125.800343,168,134.070092
125.437958,168,134.139784
124.677889,168,134.210222
123.537812,168,134.283445
125.979942,168,134.356909
124.783578,168,134.428492
125.839368,168,134.500262
125.889043,168,134.572596
124.431941,168,134.641704
126.28838,168,134.718189
125.222442,168,134.786858
