episode,step,hour,rebalance_cost,num_rebalances,total_demand,total_served,service_rate,reward
2,35,36,0.0,0,6752.0,6752.0,1.0,0.84
2,36,37,13.751858472824097,1,6971.0,6971.0,1.0,0.8622481415271759
2,37,38,33.21644353866577,2,7195.0,7195.0,1.0,0.8627835564613342
2,38,39,27.380999088287354,2,7429.0,7429.0,1.0,0.9086190009117127
2,39,40,16.33792781829834,2,7626.0,7626.0,1.0,0.7716620721817017
2,40,41,0.0,0,7884.0,7884.0,1.0,1.032
2,41,42,0.0,0,8142.0,8142.0,1.0,1.032
2,42,43,0.0,0,8448.0,8448.0,1.0,1.224
2,43,44,69.4976155757904,6,8698.0,8698.0,1.0,0.9305023844242096
2,44,45,65.81088423728943,6,8889.0,8889.0,1.0,0.6981891157627106
2,45,46,15.83132004737854,2,9068.0,9068.0,1.0,0.7001686799526214
2,46,47,0.0,0,9234.0,9234.0,1.0,0.664
2,47,48,16.038759231567383,1,9392.0,9392.0,1.0,0.6159612407684326
2,48,49,0.0,0,9528.0,9528.0,1.0,0.544
2,49,50,30.02615523338318,3,9664.0,9664.0,1.0,0.5139738447666168
2,50,51,13.377744674682617,2,9807.0,9807.0,1.0,0.5586222553253174
2,51,52,7.880055904388428,1,9935.0,9935.0,1.0,0.5041199440956116
2,52,53,0.0,0,10066.0,10066.0,1.0,0.524
2,53,54,3.801578998565674,1,10191.0,10191.0,1.0,0.49619842100143435
2,54,55,0.0,0,10369.0,10369.0,1.0,0.712
2,55,56,0.0,0,10571.0,10571.0,1.0,0.808
2,56,57,0.0,0,10844.0,10844.0,1.0,1.092
2,57,58,29.11688256263733,2,11059.0,11059.0,1.0,0.8308831174373627
2,58,59,0.0,0,11244.0,11244.0,1.0,0.74
2,59,60,26.598224639892578,2,11438.0,11438.0,1.0,0.7494017753601074
2,60,61,16.947811126708984,2,11668.0,11668.0,1.0,0.903052188873291
2,61,62,59.531142711639404,6,11853.0,11853.0,1.0,0.6804688572883606
2,62,63,22.93824815750122,2,12060.0,12060.0,1.0,0.8050617518424987
2,63,64,0.0,0,12262.0,12262.0,1.0,0.808
2,64,65,22.24326467514038,2,12517.0,12517.0,1.0,0.9977567353248596
2,65,66,19.772551774978638,2,12808.0,12808.0,1.0,1.1442274482250214
